,weight,source,target
1081,1,artexhibition,artelibre
1082,1,artexhibition,artenegracontemporanea
1083,2,artexhibition,artes
1084,2,artexhibition,artesanal
1085,2,artexhibition,artesanato
1086,1,artexhibition,artesania
1087,1,artexhibition,artevent
1088,4,artexhibition,artexhibit
1089,1,artexhibition,artexploration
1090,1,artexhibition,artexpo
1091,1,artexhibition,artexposure
1092,3,artexhibition,artexpressive
1093,10,artexhibition,artfair
1094,1,artexhibition,artfaire
1095,1,artexhibition,artfairnyc
1096,1,artexhibition,artfido
1097,1,artexhibition,artforbreakfast
1098,1,artexhibition,artforeveryone
1099,1,artexhibition,artforhumanity
1100,4,artexhibition,artforsale
1101,1,artexhibition,artforsalebyartist
1102,1,artexhibition,artforthehome
1103,1,artexhibition,artforyourhome
1104,1,artexhibition,artforyourwalls
1105,2,artexhibition,artgalleries
1106,36,artexhibition,artgallery
1107,1,artexhibition,artgalleryeuropeart
1108,1,artexhibition,artgram
1109,1,artexhibition,arthair
1110,1,artexhibition,arthomepage
1111,1,artexhibition,artificialintelligence
1112,3,artexhibition,artinberlin
1113,3,artexhibition,artinfo
1114,1,artexhibition,artininstagram
1115,1,artexhibition,artinmiami
1116,1,artexhibition,artinspiration
1117,1,artexhibition,artinstallation
1118,1,artexhibition,artis
1119,29,artexhibition,artist
1120,1,artexhibition,artista
1121,1,artexhibition,artistangram
1122,2,artexhibition,artiste
1123,1,artexhibition,artistescontemporains
1124,1,artexhibition,artistfeature
1125,1,artexhibition,artistfollowartist
1126,6,artexhibition,artistic
1127,1,artexhibition,artistinstaartist
1128,1,artexhibition,artistlife
1129,1,artexhibition,artistofinstagram
1130,1,artexhibition,artistonhire
1131,3,artexhibition,artistoninstagram
1132,1,artexhibition,artistrunspace
1133,6,artexhibition,artists
1134,5,artexhibition,artistsofinstagram
1135,19,artexhibition,artistsoninstagram
1136,1,artexhibition,artistsupportingartist
1137,1,artexhibition,artistwatercolours
1138,11,artexhibition,artlife
1139,1,artexhibition,artlimited
1140,1,artexhibition,artlondon
1141,1,artexhibition,artlove
1142,9,artexhibition,artlover
1143,12,artexhibition,artlovers
1144,2,artexhibition,artmagazine
1145,1,artexhibition,artmarketproductions
1146,1,artexhibition,artmoderne
1147,10,artexhibition,artmuseum
1148,1,artexhibition,artmuseums
1149,10,artexhibition,artnews
1150,1,artexhibition,artnights
1151,1,artexhibition,artnow
1152,11,artexhibition,artofinstagram
1153,1,artexhibition,artofinteriors
